Year,Année,ISO,Jurisdiction,Juridiction,Month,Mois,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1990,1990,AB,Alberta,Alberta,January,Janvier,0.1,a,0.1,a
1990,1990,AB,Alberta,Alberta,October,Octobre,182.4,a,182.4,a
1990,1990,AB,Alberta,Alberta,November,Novembre,42.5,a,42.5,a
1990,1990,AB,Alberta,Alberta,December,Décembre,0.4,a,0.4,a
1990,1990,AB,Alberta,Alberta,February,Février,3.3,a,3.3,a
1990,1990,AB,Alberta,Alberta,March,Mars,6.6,a,6.6,a
1990,1990,AB,Alberta,Alberta,April,Avril,25.1,a,25.1,a
1990,1990,AB,Alberta,Alberta,May,Mai,624.200000000001,a,624.200000000001,a
1990,1990,AB,Alberta,Alberta,June,Juin,1704.29999999999,a,1704.29999999999,a
1990,1990,AB,Alberta,Alberta,July,Juillet,14934.4,a,14934.4,a
1990,1990,AB,Alberta,Alberta,August,Août,14245.8,a,14245.8,a
1990,1990,AB,Alberta,Alberta,September,Septembre,2315.8,a,2315.8,a
1991,1991,AB,Alberta,Alberta,January,Janvier,86.2,a,86.2,a
1991,1991,AB,Alberta,Alberta,October,Octobre,137.6,a,137.6,a
1991,1991,AB,Alberta,Alberta,November,Novembre,0.7,a,0.7,a
1991,1991,AB,Alberta,Alberta,December,Décembre,35.8,a,35.8,a
1991,1991,AB,Alberta,Alberta,February,Février,0.8,a,0.8,a
1991,1991,AB,Alberta,Alberta,March,Mars,117.5,a,117.5,a
1991,1991,AB,Alberta,Alberta,April,Avril,1158,a,1158,a
1991,1991,AB,Alberta,Alberta,May,Mai,3467.6,a,3467.6,a
1991,1991,AB,Alberta,Alberta,June,Juin,87.2,a,87.2,a
1991,1991,AB,Alberta,Alberta,July,Juillet,115.4,a,115.4,a
1991,1991,AB,Alberta,Alberta,August,Août,784.100000000002,a,784.100000000002,a
1991,1991,AB,Alberta,Alberta,September,Septembre,173.9,a,173.9,a
1992,1992,AB,Alberta,Alberta,January,Janvier,12,a,12,a
1992,1992,AB,Alberta,Alberta,October,Octobre,79.6999999999999,a,79.6999999999999,a
1992,1992,AB,Alberta,Alberta,November,Novembre,5.3,a,5.3,a
1992,1992,AB,Alberta,Alberta,December,Décembre,0.4,a,0.4,a
1992,1992,AB,Alberta,Alberta,February,Février,54.2,a,54.2,a
1992,1992,AB,Alberta,Alberta,March,Mars,248.3,a,248.3,a
1992,1992,AB,Alberta,Alberta,April,Avril,1254,a,1254,a
1992,1992,AB,Alberta,Alberta,May,Mai,419.8,a,419.8,a
1992,1992,AB,Alberta,Alberta,June,Juin,706.000000000001,a,706.000000000001,a
1992,1992,AB,Alberta,Alberta,July,Juillet,268.000000000001,a,268.000000000001,a
1992,1992,AB,Alberta,Alberta,August,Août,494.800000000001,a,494.800000000001,a
1992,1992,AB,Alberta,Alberta,September,Septembre,5.5,a,5.5,a
1993,1993,AB,Alberta,Alberta,January,Janvier,2.7,a,2.7,a
1993,1993,AB,Alberta,Alberta,October,Octobre,49.3,a,49.3,a
1993,1993,AB,Alberta,Alberta,November,Novembre,8.1,a,8.1,a
1993,1993,AB,Alberta,Alberta,December,Décembre,0.01,a,0.01,a
1993,1993,AB,Alberta,Alberta,February,Février,39.3,a,39.3,a
1993,1993,AB,Alberta,Alberta,March,Mars,227.1,a,227.1,a
1993,1993,AB,Alberta,Alberta,April,Avril,301.1,a,301.1,a
1993,1993,AB,Alberta,Alberta,May,Mai,6474.50000000002,a,6474.50000000002,a
1993,1993,AB,Alberta,Alberta,June,Juin,18539.3999999999,a,18539.3999999999,a
1993,1993,AB,Alberta,Alberta,July,Juillet,127.3,a,127.3,a
1993,1993,AB,Alberta,Alberta,August,Août,284.6,a,284.6,a
1993,1993,AB,Alberta,Alberta,September,Septembre,7,a,7,a
1994,1994,AB,Alberta,Alberta,January,Janvier,15.22,a,15.22,a
1994,1994,AB,Alberta,Alberta,October,Octobre,26.54,a,26.54,a
1994,1994,AB,Alberta,Alberta,November,Novembre,22.92,a,22.92,a
1994,1994,AB,Alberta,Alberta,December,Décembre,14.8,a,14.8,a
1994,1994,AB,Alberta,Alberta,March,Mars,31.9,a,31.9,a
1994,1994,AB,Alberta,Alberta,April,Avril,868.33,a,868.33,a
1994,1994,AB,Alberta,Alberta,May,Mai,2630.99,a,2630.99,a
1994,1994,AB,Alberta,Alberta,June,Juin,6581.28000000002,a,6581.28000000002,a
1994,1994,AB,Alberta,Alberta,July,Juillet,17069.0099999999,a,17069.0099999999,a
1994,1994,AB,Alberta,Alberta,August,Août,1112.48,a,1112.48,a
1994,1994,AB,Alberta,Alberta,September,Septembre,1208.76,a,1208.76,a
1995,1995,AB,Alberta,Alberta,January,Janvier,1.45,a,1.45,a
1995,1995,AB,Alberta,Alberta,October,Octobre,41.68,a,41.68,a
1995,1995,AB,Alberta,Alberta,November,Novembre,0.41,a,0.41,a
1995,1995,AB,Alberta,Alberta,February,Février,10.32,a,10.32,a
1995,1995,AB,Alberta,Alberta,March,Mars,289.35,a,289.35,a
1995,1995,AB,Alberta,Alberta,April,Avril,578.92,a,578.92,a
1995,1995,AB,Alberta,Alberta,May,Mai,330663.75,a,330663.75,a
1995,1995,AB,Alberta,Alberta,June,Juin,3784.88,a,3784.88,a
1995,1995,AB,Alberta,Alberta,July,Juillet,99.01,a,99.01,a
1995,1995,AB,Alberta,Alberta,August,Août,2109.76,a,2109.76,a
1995,1995,AB,Alberta,Alberta,September,Septembre,370.03,a,370.03,a
1996,1996,AB,Alberta,Alberta,January,Janvier,0.12,a,0.12,a
1996,1996,AB,Alberta,Alberta,October,Octobre,2.01,a,2.01,a
1996,1996,AB,Alberta,Alberta,November,Novembre,0.21,a,0.21,a
1996,1996,AB,Alberta,Alberta,December,Décembre,0.35,a,0.35,a
1996,1996,AB,Alberta,Alberta,March,Mars,1.1,a,1.1,a
1996,1996,AB,Alberta,Alberta,April,Avril,92.67,a,92.67,a
1996,1996,AB,Alberta,Alberta,May,Mai,522.03,a,522.03,a
1996,1996,AB,Alberta,Alberta,June,Juin,533.69,a,533.69,a
1996,1996,AB,Alberta,Alberta,July,Juillet,775.27,a,775.27,a
1996,1996,AB,Alberta,Alberta,August,Août,21.79,a,21.79,a
1996,1996,AB,Alberta,Alberta,September,Septembre,12.15,a,12.15,a
1997,1997,AB,Alberta,Alberta,January,Janvier,0.01,a,0.01,a
1997,1997,AB,Alberta,Alberta,October,Octobre,0.31,a,0.31,a
1997,1997,AB,Alberta,Alberta,November,Novembre,0.1,a,0.1,a
1997,1997,AB,Alberta,Alberta,December,Décembre,3896.84,a,3896.84,a
1997,1997,AB,Alberta,Alberta,March,Mars,24.7,a,24.7,a
1997,1997,AB,Alberta,Alberta,April,Avril,117.18,a,117.18,a
1997,1997,AB,Alberta,Alberta,May,Mai,356.11,a,356.11,a
1997,1997,AB,Alberta,Alberta,June,Juin,49.9,a,49.9,a
1997,1997,AB,Alberta,Alberta,July,Juillet,212.55,a,212.55,a
1997,1997,AB,Alberta,Alberta,August,Août,60.12,a,60.12,a
1997,1997,AB,Alberta,Alberta,September,Septembre,7.13,a,7.13,a
1998,1998,AB,Alberta,Alberta,October,Octobre,311.05,a,311.05,a
1998,1998,AB,Alberta,Alberta,November,Novembre,0.94,a,0.94,a
1998,1998,AB,Alberta,Alberta,December,Décembre,1.03,a,1.03,a
1998,1998,AB,Alberta,Alberta,March,Mars,0.5,a,0.5,a
1998,1998,AB,Alberta,Alberta,April,Avril,1362.21,a,1362.21,a
